"","0% samples","1% samples","10% samples","20% samples","25% samples","50% samples","75% samples","80% samples","90% samples","99% samples","100% samples"
"0% exons",353,353,353,353,353,353,353,353,353,353,353
"1% exons",353,353,353,353,353,349,224,117,0,0,0
"10% exons",353,353,353,353,353,349,222,115,0,0,0
"20% exons",353,353,353,353,353,349,209,96,0,0,0
"25% exons",353,353,353,353,353,349,192,83,0,0,0
"50% exons",353,353,353,353,352,335,131,46,0,0,0
"75% exons",353,351,349,345,343,281,71,21,0,0,0
"80% exons",353,351,349,344,339,259,64,18,0,0,0
"90% exons",353,351,349,339,326,232,50,14,0,0,0
"99% exons",353,348,340,319,307,207,40,9,0,0,0
"100% exons",353,347,337,318,305,206,37,9,0,0,0
