"","locus","n_samples"
"1","4471",74
"2","4527",69
"3","4691",77
"4","4724",75
"5","4744",63
"6","4757",75
"7","4793",78
"8","4796",76
"9","4802",73
"10","4806",75
"11","4848",77
"12","4889",72
"13","4890",76
"14","4893",74
"15","4932",75
"16","4942",77
"17","4951",74
"18","4954",83
"19","4989",72
"20","4992",78
"21","5018",79
"22","5032",74
"23","5034",72
"24","5038",76
"25","5064",64
"26","5090",71
"27","5104",69
"28","5116",79
"29","5123",74
"30","5131",74
"31","5138",77
"32","5162",78
"33","5163",77
"34","5168",79
"35","5177",75
"36","5188",71
"37","5200",74
"38","5206",66
"39","5220",68
"40","5257",75
"41","5260",67
"42","5264",78
"43","5271",73
"44","5273",77
"45","5280",79
"46","5296",78
"47","5299",71
"48","5304",77
"49","5318",76
"50","5326",77
"51","5328",60
"52","5333",79
"53","5335",75
"54","5339",79
"55","5343",73
"56","5347",45
"57","5348",65
"58","5354",73
"59","5355",73
"60","5357",72
"61","5366",77
"62","5398",79
"63","5404",75
"64","5406",76
"65","5421",77
"66","5422",56
"67","5426",77
"68","5427",74
"69","5428",76
"70","5430",70
"71","5434",78
"72","5449",76
"73","5454",77
"74","5460",71
"75","5463",69
"76","5464",79
"77","5469",75
"78","5477",75
"79","5489",76
"80","5502",72
"81","5513",75
"82","5528",78
"83","5531",67
"84","5536",69
"85","5551",76
"86","5554",78
"87","5562",64
"88","5578",62
"89","5594",73
"90","5596",78
"91","5599",79
"92","5614",76
"93","5620",78
"94","5634",77
"95","5639",75
"96","5642",73
"97","5644",77
"98","5656",54
"99","5660",72
"100","5664",71
"101","5670",79
"102","5699",74
"103","5702",75
"104","5703",75
"105","5716",78
"106","5721",78
"107","5733",73
"108","5744",71
"109","5770",75
"110","5772",75
"111","5791",71
"112","5802",64
"113","5815",61
"114","5816",79
"115","5821",76
"116","5822",73
"117","5840",78
"118","5841",76
"119","5842",75
"120","5843",71
"121","5849",76
"122","5853",75
"123","5857",75
"124","5858",74
"125","5859",76
"126","5865",78
"127","5866",77
"128","5870",72
"129","5893",77
"130","5894",67
"131","5899",78
"132","5910",76
"133","5913",73
"134","5918",74
"135","5919",69
"136","5921",79
"137","5922",75
"138","5926",71
"139","5933",77
"140","5936",71
"141","5940",74
"142","5941",64
"143","5942",69
"144","5943",79
"145","5944",76
"146","5945",76
"147","5949",72
"148","5950",76
"149","5958",68
"150","5960",78
"151","5968",67
"152","5974",66
"153","5977",68
"154","5980",73
"155","5981",76
"156","5990",67
"157","6000",76
"158","6003",61
"159","6004",73
"160","6016",78
"161","6026",74
"162","6029",79
"163","6034",74
"164","6036",78
"165","6038",79
"166","6041",77
"167","6048",67
"168","6050",76
"169","6051",77
"170","6056",78
"171","6064",70
"172","6068",69
"173","6072",64
"174","6098",77
"175","6110",70
"176","6114",72
"177","6119",77
