"","locus","n_samples"
"1","100000001",65
"2","10000016",86
"3","10000018",65
"4","1000010",90
"5","1001000019",70
"6","1008000002",78
"7","101000008",66
"8","10145000010",85
"9","1015000004",68
"10","1016000019",65
"11","1021000002",71
"12","1028000010",70
"13","1029000000",67
"14","103000014",75
"15","103000017",71
"16","1033000014",70
"17","1040000003",75
"18","104000006",67
"19","10438000010",71
"20","10446000003",66
"21","10453000002",66
"22","10507000011",67
"23","10639000015",60
"24","10640000012",66
"25","1065000017",67
"26","10658000004",71
"27","1068000018",68
"28","10690000005",41
"29","10695000003",71
"30","107000015",73
"31","107000018",65
"32","10742000001",70
"33","10769000013",60
"34","1084000009",69
"35","10866000009",70
"36","109000000",68
"37","109000012",76
"38","10913000001",69
"39","110000009",72
"40","110000015",62
"41","11000005",76
"42","11000008",72
"43","11000019",86
"44","11097000016",75
"45","111000008",66
"46","112000009",74
"47","112000015",65
"48","11214000003",71
"49","11218000011",67
"50","1122000008",63
"51","11268000001",71
"52","113000018",75
"53","1139000018",67
"54","114000009",68
"55","114000016",71
"56","1142000002",63
"57","1146000009",73
"58","1159000011",74
"59","1161000003",72
"60","1162000016",72
"61","11677000019",77
"62","117000008",68
"63","1181000018",62
"64","1185000019",60
"65","1189000010",69
"66","11928000009",76
"67","1195000019",89
"68","119858000011",78
"69","1205000010",70
"70","12084000005",63
"71","1217000016",69
"72","1220000001",63
"73","122000002",74
"74","1224000006",65
"75","12283000003",70
"76","1229000004",71
"77","123000018",75
"78","12424000001",66
"79","1243000007",69
"80","1251000000",67
"81","12514000018",65
"82","12532000004",70
"83","12533000013",71
"84","12599000014",72
"85","126000006",70
"86","127000016",71
"87","1273000014",76
"88","1275000007",65
"89","128000013",75
"90","12831000019",67
"91","1291000014",70
"92","1299000012",63
"93","130000006",65
"94","13000001",72
"95","13000002",60
"96","13000018",67
"97","1302000019",70
"98","13122000012",73
"99","13141000008",72
"100","1322000012",69
"101","13227000006",70
"102","13240000014",79
"103","1330000009",63
"104","1333000013",76
"105","134000010",72
"106","1342000014",74
"107","1346000005",64
"108","135000012",66
"109","1354000013",65
"110","13609000017",65
"111","1364000018",71
"112","137000001",70
"113","1370000011",75
"114","137000010",76
"115","1382000006",71
"116","1386000008",67
"117","1389000002",69
"118","1394000006",69
"119","1395000004",66
"120","14000000",72
"121","14000013",36
"122","1409000003",75
"123","1414000019",71
"124","1434000007",67
"125","1436000001",69
"126","144000011",65
"127","14413000003",66
"128","1444000013",62
"129","1469000012",56
"130","147000007",70
"131","14794000017",69
"132","149000011",71
"133","1494000001",65
"134","1499000014",65
"135","150000004",45
"136","150000012",69
"137","15000008",75
"138","15000017",60
"139","1502000015",67
"140","15059000019",59
"141","1511000005",59
"142","15157000017",67
"143","1516000002",71
"144","152000006",73
"145","152000007",75
"146","1521000011",60
"147","1535000019",72
"148","1541000018",75
"149","155000011",63
"150","156000018",73
"151","1568000010",65
"152","157000014",51
"153","1580000004",73
"154","1580000010",65
"155","15824000012",56
"156","1585000018",66
"157","1591000018",78
"158","1598000011",63
"159","160000008",69
"160","16000003",74
"161","16000017",71
"162","161000009",69
"163","1617000007",67
"164","1619000010",67
"165","1628000004",69
"166","163000005",71
"167","164000012",70
"168","1641000007",73
"169","1651000007",59
"170","16558000012",71
"171","1661000017",58
"172","1663000018",74
"173","1666000012",75
"174","1666000018",60
"175","16720000018",68
"176","168000013",62
"177","16864000012",65
"178","170000002",64
"179","17000008",60
"180","17000018",67
"181","17159000004",62
"182","1727000014",60
"183","174000001",67
"184","17487000017",66
"185","175000013",74
"186","1753000015",68
"187","1758000001",68
"188","176000008",70
"189","1766000009",66
"190","17699000000",78
"191","1770000018",67
"192","177000010",67
"193","17722000003",71
"194","1776000007",70
"195","1780000010",63
"196","1784000019",66
"197","1789000005",61
"198","1798000008",67
"199","180000006",74
"200","180000008",70
"201","1815000011",68
"202","1827000007",71
"203","1827000018",61
"204","18300000007",70
"205","1856000006",69
"206","1859000007",62
"207","186000016",73
"208","1868000008",61
"209","18691000014",65
"210","187000004",59
"211","187000019",66
"212","1884000014",66
"213","1888000014",67
"214","189000012",67
"215","189000015",66
"216","18902000010",67
"217","1894000015",66
"218","19000000",69
"219","19000017",66
"220","19023000011",60
"221","19030000016",84
"222","191000012",77
"223","191000018",67
"224","19109000018",63
"225","1922000011",69
"226","19343000002",71
"227","194000013",71
"228","1945000008",73
"229","1951000008",45
"230","196000019",69
"231","1963000005",63
"232","1963000016",68
"233","19751000016",63
"234","198000003",65
"235","1989000013",72
"236","1990000011",75
"237","19904000019",75
"238","1993000019",60
"239","1998000006",75
"240","20000001",66
"241","20000007",75
"242","20000008",73
"243","20000016",73
"244","201000016",67
"245","2015000011",63
"246","2026000013",67
"247","203000011",70
"248","204000005",76
"249","2056000006",66
"250","206000003",66
"251","2069000004",77
"252","2071000006",69
"253","2071000013",70
"254","2073000012",70
"255","2079000011",74
"256","208000013",72
"257","20826000002",68
"258","2083000014",72
"259","20987000014",66
"260","210000015",72
"261","21000014",72
"262","2108000017",67
"263","2119000001",70
"264","212000013",64
"265","2121000008",61
"266","213000017",75
"267","2135000003",59
"268","2136000018",76
"269","214000003",69
"270","215000014",72
"271","215000017",62
"272","21513000008",60
"273","216000010",73
"274","21607000006",74
"275","21678000008",66
"276","2171000013",68
"277","21722000013",74
"278","218000005",69
"279","218000008",68
"280","220000004",73
"281","22000017",73
"282","2203000013",62
"283","22144000001",70
"284","2215000008",64
"285","22162000014",66
"286","22179000006",69
"287","2222000009",56
"288","22256000011",70
"289","22319000012",65
"290","2247000004",69
"291","2248000011",68
"292","2257000002",71
"293","226000013",75
"294","226000015",72
"295","2272000018",65
"296","23000007",40
"297","23000009",62
"298","23000010",63
"299","2301000001",68
"300","23016000018",68
"301","2303000016",79
"302","2309000003",72
"303","23095000009",69
"304","23101000010",69
"305","232000013",71
"306","23253000016",74
"307","2335000003",64
"308","23413000010",63
"309","2346000005",72
"310","2354000017",72
"311","23609000003",61
"312","2367000017",69
"313","2379000000",65
"314","2382000016",64
"315","2388000013",74
"316","23939000003",65
"317","2396000015",62
"318","24000000",63
"319","24000019",73
"320","2405000014",78
"321","24052000008",66
"322","2412000013",66
"323","243000017",73
"324","2431000013",68
"325","244000016",62
"326","24478000004",73
"327","2455000011",67
"328","24554000011",65
"329","247000004",69
"330","247000005",74
"331","24714000011",75
"332","24741000004",70
"333","2478000003",65
"334","248000003",73
"335","248000008",72
"336","2487000012",71
"337","24872000001",66
"338","249000007",71
"339","25000003",64
"340","25000017",74
"341","2506000009",75
"342","25065000002",69
"343","25097000010",65
"344","251000004",72
"345","251000011",65
"346","2515000000",69
"347","25192000015",72
"348","253000000",75
"349","25342000018",72
"350","2550000002",73
"351","2552000018",75
"352","256000017",65
"353","2564000004",71
"354","2571000001",56
"355","25721000002",68
"356","258000012",63
"357","259000011",72
"358","2596000010",68
"359","25981000012",64
"360","26000008",69
"361","26000010",71
"362","26000016",62
"363","26000017",73
"364","2607000006",69
"365","2610000015",60
"366","262000013",63
"367","262000014",63
"368","2631000002",68
"369","2632000004",64
"370","26341000008",66
