"","locus","n_samples"
"1","Contig_000001_2874",78
"2","Contig_000001_3200",77
"3","Contig_000001_3396",83
"4","Contig_000001_3764",78
"5","Contig_0000010_2198",75
"6","Contig_0000010_2313",79
"7","Contig_00000101_1517",78
"8","Contig_00000102_1516",74
"9","Contig_00000103_1510",76
"10","Contig_00000103_1512",77
"11","Contig_00000104_1509",72
"12","Contig_00000104_1512",79
"13","Contig_00000105_1508",75
"14","Contig_00000106_1501",68
"15","Contig_00000107_1504",78
"16","Contig_00000108_1500",79
"17","Contig_00000109_1499",75
"18","Contig_0000011_2177",76
"19","Contig_00000110_1491",78
"20","Contig_00000110_1495",78
"21","Contig_00000111_1489",79
"22","Contig_00000112_1488",79
"23","Contig_00000112_1493",73
"24","Contig_00000113_1479",77
"25","Contig_00000113_1486",68
"26","Contig_00000114_1477",76
"27","Contig_00000114_1480",71
"28","Contig_00000115_1476",80
"29","Contig_00000116_1471",77
"30","Contig_00000116_1478",80
"31","Contig_00000118_1466",59
"32","Contig_00000119_1467",79
"33","Contig_0000012_2131",78
"34","Contig_0000012_2172",80
"35","Contig_0000012_2265",75
"36","Contig_0000013_2104",76
"37","Contig_0000013_2144",76
"38","Contig_0000013_2287",77
"39","Contig_0000014_2103",78
"40","Contig_0000014_2114",80
"41","Contig_0000014_2213",80
"42","Contig_0000014_2263",77
"43","Contig_0000015_2078",80
"44","Contig_0000015_2203",81
"45","Contig_0000015_2232",81
"46","Contig_0000016_2057",75
"47","Contig_0000016_2144",76
"48","Contig_0000017_2053",80
"49","Contig_0000017_2059",78
"50","Contig_0000017_2116",80
"51","Contig_0000017_2136",77
"52","Contig_0000018_2029",80
"53","Contig_0000018_2071",77
"54","Contig_0000018_2106",79
"55","Contig_0000019_2048",79
"56","Contig_0000019_2069",80
"57","Contig_000002_2592",83
"58","Contig_000002_2992",76
"59","Contig_0000020_2008",80
"60","Contig_0000020_2014",77
"61","Contig_0000020_2062",78
"62","Contig_0000021_2001",79
"63","Contig_0000021_2004",78
"64","Contig_0000021_2061",76
"65","Contig_0000022_1964",80
"66","Contig_0000022_1995",78
"67","Contig_0000023_1986",79
"68","Contig_0000023_1988",76
"69","Contig_0000024_1939",76
"70","Contig_0000024_1979",74
"71","Contig_0000025_1920",79
"72","Contig_0000025_1957",80
"73","Contig_0000025_1962",75
"74","Contig_0000026_1917",75
"75","Contig_0000026_1947",78
"76","Contig_0000026_1956",77
"77","Contig_0000027_1902",72
"78","Contig_0000027_1913",77
"79","Contig_0000027_1939",78
"80","Contig_0000027_1950",79
"81","Contig_0000028_1893",78
"82","Contig_0000028_1946",80
"83","Contig_0000029_1844",76
"84","Contig_0000029_1888",74
"85","Contig_0000029_1943",77
"86","Contig_000003_2608",77
"87","Contig_000003_2788",79
"88","Contig_0000030_1878",72
"89","Contig_0000030_1898",77
"90","Contig_0000031_1816",79
"91","Contig_0000031_1942",74
"92","Contig_0000032_1801",79
"93","Contig_0000032_1942",77
"94","Contig_0000033_1791",72
"95","Contig_0000033_1822",67
"96","Contig_0000033_1863",80
"97","Contig_0000033_1934",79
"98","Contig_0000034_1789",78
"99","Contig_0000034_1805",80
"100","Contig_0000034_1861",79
"101","Contig_0000034_1907",76
"102","Contig_0000035_1741",71
"103","Contig_0000035_1844",80
"104","Contig_0000036_1844",79
"105","Contig_0000036_1878",76
"106","Contig_0000037_1769",80
"107","Contig_0000037_1830",79
"108","Contig_0000037_1874",79
"109","Contig_0000038_1725",78
"110","Contig_0000038_1767",63
"111","Contig_0000038_1822",77
"112","Contig_0000038_1867",78
"113","Contig_0000039_1723",70
"114","Contig_0000039_1756",72
"115","Contig_0000039_1859",78
"116","Contig_000004_2381",76
"117","Contig_000004_2445",77
"118","Contig_000004_2701",74
"119","Contig_000004_2909",80
"120","Contig_0000040_1748",80
"121","Contig_0000040_1811",66
"122","Contig_0000040_1845",79
"123","Contig_0000041_1703",79
"124","Contig_0000041_1736",78
"125","Contig_0000041_1803",81
"126","Contig_0000041_1827",76
"127","Contig_0000042_1702",78
"128","Contig_0000042_1734",72
"129","Contig_0000043_1679",78
"130","Contig_0000043_1719",73
"131","Contig_0000043_1779",81
"132","Contig_0000043_1811",79
"133","Contig_0000044_1676",78
"134","Contig_0000044_1715",72
"135","Contig_0000044_1801",80
"136","Contig_0000045_1661",79
"137","Contig_0000045_1710",81
"138","Contig_0000045_1771",81
"139","Contig_0000046_1657",79
"140","Contig_0000046_1683",80
"141","Contig_0000046_1765",74
"142","Contig_0000046_1781",78
"143","Contig_0000047_1661",72
"144","Contig_0000047_1773",60
"145","Contig_0000048_1647",77
"146","Contig_0000048_1655",75
"147","Contig_0000049_1643",76
"148","Contig_0000049_1654",80
"149","Contig_0000049_1758",78
"150","Contig_000005_2359",78
"151","Contig_000005_2638",75
"152","Contig_000005_2885",79
"153","Contig_0000050_1639",76
"154","Contig_0000050_1648",72
"155","Contig_0000050_1754",73
"156","Contig_0000051_1626",80
"157","Contig_0000051_1639",79
"158","Contig_0000051_1739",72
"159","Contig_0000051_1746",68
"160","Contig_0000052_1622",54
"161","Contig_0000052_1632",79
"162","Contig_0000052_1737",80
"163","Contig_0000053_1630",45
"164","Contig_0000053_1732",75
"165","Contig_0000053_1735",76
"166","Contig_0000054_1628",68
"167","Contig_0000054_1727",79
"168","Contig_0000055_1699",78
"169","Contig_0000055_1725",78
"170","Contig_0000056_1601",78
"171","Contig_0000056_1625",78
