"","0% samples","1% samples","10% samples","20% samples","25% samples","50% samples","75% samples","80% samples","90% samples","99% samples","100% samples"
"0% exons",2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270
"1% exons",2270,1985,1832,1774,1756,1589,1186,881,19,6,6
"10% exons",2270,1985,1832,1774,1756,1589,1186,881,19,6,6
"20% exons",2270,1983,1830,1772,1754,1587,1179,870,19,6,6
"25% exons",2270,1983,1828,1768,1751,1577,1170,866,19,6,6
"50% exons",2270,1922,1751,1681,1658,1433,974,667,16,3,3
"75% exons",2270,1782,1558,1453,1400,1127,627,399,12,2,2
"80% exons",2270,1739,1507,1389,1327,1046,561,336,11,2,2
"90% exons",2270,1626,1354,1205,1141,855,404,221,7,2,2
"99% exons",2270,1099,854,756,708,482,196,82,2,1,1
"100% exons",2270,535,407,354,332,224,96,44,0,0,0
