"","locus","n_samples"
"1","Assembly_000000000077_Contig_1_401_RUBxPdouarrei",44
"2","Assembly_000000000107_Contig_1_516_RUBxPipecacuanha",37
"3","Assembly_000000000107_Contig_4_158_RUBxPipecacuanha",35
"4","Assembly_000000000441_Contig_1_644_CINxNeolamarckia",33
"5","Assembly_000000000467_Contig_1_687_RUBxPipecacuanha",38
"6","Assembly_000000000467_Contig_2_607_RUBxPipecacuanha",37
"7","Assembly_000000000507_Contig_1_388_RUBxPmarginata",38
"8","Assembly_000000000507_Contig_2_269_RUBxPmarginata",30
"9","Assembly_000000000551_Contig_1_374_CINxNeolamarckia",33
"10","Assembly_000000000707_Contig_1_393_RUBxPmarginata",32
"11","Assembly_000000001039_Contig_1_333_CINxHamelia",3
"12","Assembly_000000001039_Contig_2_193_CINxHamelia",37
"13","Assembly_000000001459_Contig_2_131_RUBxPdouarrei",36
"14","Assembly_000000001717_Contig_1_580_RUBxPdouarrei",42
"15","Assembly_000000001865_Contig_1_415_CINxHamelia",4
"16","Assembly_000000001919_Contig_1_537_RUBxPmarginata",33
"17","Assembly_000000002015_Contig_1_1100_RUBxPmarginata",38
"18","Assembly_000000002033_Contig_1_544_RUBxPmarginata",37
"19","Assembly_000000002341_Contig_3_127_CINxHamelia",0
"20","Assembly_000000002531_Contig_1_285_RUBxPipecacuanha",38
"21","Assembly_000000002531_Contig_3_486_RUBxPipecacuanha",39
"22","Assembly_000000002531_Contig_4_249_RUBxPipecacuanha",34
"23","Assembly_000000002531_Contig_5_166_RUBxPipecacuanha",32
"24","Assembly_000000002621_Contig_1_285_CINxHamelia",6
"25","Assembly_000000002769_Contig_2_312_CINxNeolamarckia",31
"26","Assembly_000000002911_Contig_3_191_CINxHamelia",1
"27","Assembly_000000002911_Contig_5_124_CINxHamelia",30
"28","Assembly_000000003295_Contig_1_439_CINxNeolamarckia",24
"29","Assembly_000000003295_Contig_2_195_CINxNeolamarckia",37
"30","Assembly_000000003395_Contig_1_282_CINxHamelia",29
"31","Assembly_000000003395_Contig_2_211_CINxHamelia",23
